strategy,variant,timestamp_utc,closed_bar_time,run_number,dry_run,action,side,data_source,funding_source,btc_price,closed_price,sma250,target_exposure,actual_exposure,previous_exposure,btc_units_traded,trade_value_usd,cost_usd,funding_events,funding_rate_sum,funding_payment_usd,wallet_usd,btc_contract_qty,entry_price,total_equity_usd,total_return_pct,drawdown_pct,liquidated,gap_bars_processed,summary,late_recovery
fixed_2x_long_short_05_4h,long_short,2026-08-06T06:24:31.087804+00:00,2026-08-06T00:00:00+00:00,1,False,ENTER,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,64740.0,64493.9,63219.8,2.0,2.0,0.0,0.30849613,19972.04,13.98,0,0.0,0.0,9986.02,0.30849613,64740.0,9986.02,-0.14,-0.14,False,1,"ENTER LONG target +2.00x (actual +2.000x); BTC $64,740, SMA250 $63,220; equity $9,986.02.",
fixed_2x_long_short_05_4h,long_short,2026-08-07T09:57:59.957160+00:00,2026-08-07T04:00:00+00:00,3,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,64800.0,64288.8,63349.66,2.0,1.998165,1.998165,0.0,0.0,0.0,1,-1.043e-05,-0.2069,9985.94,0.30849613,64740.0,10004.45,0.04,0.0,False,1,"HOLD LONG target +2.00x (actual +1.998x); BTC $64,800, SMA250 $63,350; equity $10,004.45.",False
fixed_2x_long_short_05_4h,long_short,2026-08-07T17:05:33.012110+00:00,2026-08-07T12:00:00+00:00,5,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,64719.8,64889.9,63389.99,2.0,2.000955,2.000955,0.0,0.0,0.0,1,7.867e-05,1.5748,9984.37,0.30849613,64740.0,9978.14,-0.22,-1.41,False,1,"HOLD LONG target +2.00x (actual +2.001x); BTC $64,720, SMA250 $63,390; equity $9,978.14.",False
fixed_2x_long_short_05_4h,long_short,2026-08-08T02:19:57.975557+00:00,2026-08-07T20:00:00+00:00,7,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,64867.9,64883.1,63426.0,2.0,1.996406,1.996406,0.0,0.0,0.0,1,3.35e-06,0.0671,9984.3,0.30849613,64740.0,10023.76,0.24,-0.96,False,1,"HOLD LONG target +2.00x (actual +1.996x); BTC $64,868, SMA250 $63,426; equity $10,023.76.",False
fixed_2x_long_short_05_4h,long_short,2026-08-08T08:58:05.088238+00:00,2026-08-08T04:00:00+00:00,9,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,64959.5,64934.4,63461.14,2.0,1.99376,1.99376,0.0,0.0,0.0,1,3.891e-05,0.7794,9983.52,0.30849613,64740.0,10051.24,0.51,-0.69,False,1,"HOLD LONG target +2.00x (actual +1.994x); BTC $64,960, SMA250 $63,461; equity $10,051.24.",False
fixed_2x_long_short_05_4h,long_short,2026-08-08T16:50:12.903529+00:00,2026-08-08T12:00:00+00:00,11,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,65033.7,65043.1,63500.49,2.0,1.991619,1.991619,0.0,0.0,0.0,1,2.947e-05,0.5914,9982.93,0.30849613,64740.0,10073.54,0.74,-0.47,False,1,"HOLD LONG target +2.00x (actual +1.992x); BTC $65,034, SMA250 $63,500; equity $10,073.54.",False
fixed_2x_long_short_05_4h,long_short,2026-08-09T02:26:43.787921+00:00,2026-08-08T20:00:00+00:00,13,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,64808.9,64929.4,63538.92,2.0,1.998467,1.998467,0.0,0.0,0.0,1,-6.48e-06,-0.1298,9983.06,0.30849613,64740.0,10004.32,0.04,-1.16,False,1,"HOLD LONG target +2.00x (actual +1.998x); BTC $64,809, SMA250 $63,539; equity $10,004.32.",False
fixed_2x_long_short_05_4h,long_short,2026-08-09T09:00:45.447406+00:00,2026-08-09T04:00:00+00:00,15,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,64797.1,64792.4,63576.4,2.0,1.998869,1.998869,0.0,0.0,0.0,1,9.66e-06,0.1931,9982.87,0.30849613,64740.0,10000.48,0.0,-1.19,False,1,"HOLD LONG target +2.00x (actual +1.999x); BTC $64,797, SMA250 $63,576; equity $10,000.48.",False
fixed_2x_long_short_05_4h,long_short,2026-08-09T16:52:35.705060+00:00,2026-08-09T12:00:00+00:00,17,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,65221.3,65203.0,63620.89,2.0,1.986277,1.986277,0.0,0.0,0.0,1,7.877e-05,1.5844,9981.28,0.30849613,64740.0,10129.76,1.3,0.0,False,1,"HOLD LONG target +2.00x (actual +1.986x); BTC $65,221, SMA250 $63,621; equity $10,129.76.",False
fixed_2x_long_short_05_4h,long_short,2026-08-10T02:31:50.808061+00:00,2026-08-09T20:00:00+00:00,19,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,64967.0,64863.5,63660.94,2.0,1.994365,1.994365,0.0,0.0,0.0,1,9.822e-05,1.9656,9979.32,0.30849613,64740.0,10049.35,0.49,-0.79,False,1,"HOLD LONG target +2.00x (actual +1.994x); BTC $64,967, SMA250 $63,661; equity $10,049.35.",False
