strategy,variant,timestamp_utc,closed_bar_time,run_number,dry_run,action,side,data_source,funding_source,btc_price,closed_price,sma250,target_exposure,actual_exposure,previous_exposure,btc_units_traded,trade_value_usd,cost_usd,funding_events,funding_rate_sum,funding_payment_usd,wallet_usd,btc_contract_qty,entry_price,total_equity_usd,total_return_pct,drawdown_pct,liquidated,gap_bars_processed,summary,late_recovery
fixed_2x_long_flat_4h,long_flat,2026-08-06T06:24:28.404052+00:00,2026-08-06T00:00:00+00:00,1,False,ENTER,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,64748.5,64493.9,63219.8,2.0,2.0,0.0,0.30845563,19972.04,13.98,0,0.0,0.0,9986.02,0.30845563,64748.5,9986.02,-0.14,-0.14,False,1,"ENTER LONG target +2.00x (actual +2.000x); BTC $64,748, SMA250 $63,220; equity $9,986.02.",
fixed_2x_long_flat_4h,long_flat,2026-08-07T09:57:57.803785+00:00,2026-08-07T04:00:00+00:00,3,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,64800.1,64288.8,63349.66,2.0,1.998424,1.998424,0.0,0.0,0.0,1,-1.043e-05,-0.2068,9985.94,0.30845563,64748.5,10001.86,0.02,0.0,False,1,"HOLD LONG target +2.00x (actual +1.998x); BTC $64,800, SMA250 $63,350; equity $10,001.86.",False
fixed_2x_long_flat_4h,long_flat,2026-08-07T17:05:30.763412+00:00,2026-08-07T12:00:00+00:00,5,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,64719.7,64889.9,63389.99,2.0,2.001221,2.001221,0.0,0.0,0.0,1,7.867e-05,1.5746,9984.37,0.30845563,64748.5,9975.49,-0.25,-1.4,False,1,"HOLD LONG target +2.00x (actual +2.001x); BTC $64,720, SMA250 $63,390; equity $9,975.49.",False
fixed_2x_long_flat_4h,long_flat,2026-08-08T02:19:55.709616+00:00,2026-08-07T20:00:00+00:00,7,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,64867.8,64883.1,63426.0,2.0,1.996671,1.996671,0.0,0.0,0.0,1,3.35e-06,0.067,9984.3,0.30845563,64748.5,10021.1,0.21,-0.95,False,1,"HOLD LONG target +2.00x (actual +1.997x); BTC $64,868, SMA250 $63,426; equity $10,021.10.",False
fixed_2x_long_flat_4h,long_flat,2026-08-08T08:58:02.170667+00:00,2026-08-08T04:00:00+00:00,9,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,64959.5,64934.4,63461.14,2.0,1.99402,1.99402,0.0,0.0,0.0,1,3.891e-05,0.7793,9983.52,0.30845563,64748.5,10048.61,0.49,-0.68,False,1,"HOLD LONG target +2.00x (actual +1.994x); BTC $64,960, SMA250 $63,461; equity $10,048.61.",False
fixed_2x_long_flat_4h,long_flat,2026-08-08T16:50:10.736209+00:00,2026-08-08T12:00:00+00:00,11,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,65033.7,65043.1,63500.49,2.0,1.991878,1.991878,0.0,0.0,0.0,1,2.947e-05,0.5913,9982.93,0.30845563,64748.5,10070.9,0.71,-0.46,False,1,"HOLD LONG target +2.00x (actual +1.992x); BTC $65,034, SMA250 $63,500; equity $10,070.90.",False
fixed_2x_long_flat_4h,long_flat,2026-08-09T02:26:41.447716+00:00,2026-08-08T20:00:00+00:00,13,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,64808.9,64929.4,63538.92,2.0,1.998729,1.998729,0.0,0.0,0.0,1,-6.48e-06,-0.1298,9983.06,0.30845563,64748.5,10001.69,0.02,-1.14,False,1,"HOLD LONG target +2.00x (actual +1.999x); BTC $64,809, SMA250 $63,539; equity $10,001.69.",False
fixed_2x_long_flat_4h,long_flat,2026-08-09T09:00:43.168984+00:00,2026-08-09T04:00:00+00:00,15,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,64797.2,64792.4,63576.4,2.0,1.999128,1.999128,0.0,0.0,0.0,1,9.66e-06,0.1931,9982.87,0.30845563,64748.5,9997.89,-0.02,-1.18,False,1,"HOLD LONG target +2.00x (actual +1.999x); BTC $64,797, SMA250 $63,576; equity $9,997.89.",False
fixed_2x_long_flat_4h,long_flat,2026-08-09T16:52:33.399623+00:00,2026-08-09T12:00:00+00:00,17,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,65221.3,65203.0,63620.89,2.0,1.986534,1.986534,0.0,0.0,0.0,1,7.877e-05,1.5842,9981.28,0.30845563,64748.5,10127.12,1.27,0.0,False,1,"HOLD LONG target +2.00x (actual +1.987x); BTC $65,221, SMA250 $63,621; equity $10,127.12.",False
fixed_2x_long_flat_4h,long_flat,2026-08-10T02:31:48.533411+00:00,2026-08-09T20:00:00+00:00,19,False,HOLD,LONG,bybit_linear_perpetual_and_mark_via_cloudflare,real_bybit,64967.0,64863.5,63660.94,2.0,1.994625,1.994625,0.0,0.0,0.0,1,9.822e-05,1.9653,9979.32,0.30845563,64748.5,10046.72,0.47,-0.79,False,1,"HOLD LONG target +2.00x (actual +1.995x); BTC $64,967, SMA250 $63,661; equity $10,046.72.",False
